"Gene.symbol" "adj.P.Val" "P.Value" "logFC"
"LINC01606" 1.82363426395912e-12 7.02676888577697e-15 -3.30662980858824
"LINC00982" 3.20294848879567e-12 1.45083259978391e-14 -3.3453488562353
"LINC00675" 2.41879138270344e-11 1.66479552783283e-13 -4.27302941176471
"LINC00864" 1.23593668622082e-10 1.24328003614189e-12 -3.66775588235294
"LINC00944" 1.33653174552592e-06 7.83096428345088e-08 2.04624019611765
"LINC00473" 7.05529649627344e-06 5.66324611398618e-07 -2.77927478994118
