"ID","adj.P.Val","P.Value","t","B","logFC","miRNA_ID","SPOT_ID","condition"
"A_25_P00010995",9.5753081208223e-14,3.00166398771859e-16,13.8188424619682,26.9293011485242,4.84470588235294,"hsa-miR-210","",TRUE
"A_25_P00012265",7.54991049062034e-11,4.73348620101589e-13,-10.8113505852977,19.6899775479463,-4.349281746,"hsa-miR-200c","",TRUE
"A_25_P00012270",3.17280250231403e-07,2.98382680468404e-09,7.7236717302557,11.0204238250309,3.1449019607647,"hsa-miR-155","",TRUE
"A_25_P00014608",3.29915935283981e-07,4.13687693146058e-09,7.61558269889603,10.6963552405789,2.44196078429412,"hsa-miR-34b*","",TRUE
"A_25_P00012086",4.3713759192237e-07,6.85168639376756e-09,7.44940578449842,10.1959897599463,2.58705882352941,"hsa-miR-34a","",TRUE
"A_25_P00010548",4.90072663967156e-07,9.21766766082425e-09,-7.35210645578458,9.90187442258054,-4.71941176470588,"hsa-miR-141","",TRUE
"A_25_P00010437",1.07471426439204e-05,2.35830716324273e-07,6.30365234663701,6.69154692558582,1.64801960782353,"hsa-miR-130b","",TRUE
"A_25_P00013937",2.44563915708898e-05,6.13326434379682e-07,5.99797101291212,5.7474066463714,2.50502614376471,"hsa-miR-142-3p","",TRUE
"A_25_P00014913",4.1498373795874e-05,1.31089055204926e-06,5.7553968613256,4.998208602068,2.05882352941177,"hsa-miR-886-3p","",TRUE
"A_25_P00010610",4.1498373795874e-05,1.41318670258293e-06,5.73140154707798,4.92415502857847,1.73058823529412,"hsa-miR-93","",TRUE
"A_25_P00014844",4.1498373795874e-05,1.43097840675427e-06,5.72740612533688,4.91182596748363,2.49176470588235,"hsa-miR-142-5p","",TRUE
"A_25_P00012692",6.10610814438312e-05,2.29696858095917e-06,-5.5762376140215,4.44573293079056,-1.61470588235294,"hsa-miR-532-3p","",TRUE
"A_25_P00010079",8.46410920676179e-05,3.44932350118819e-06,5.44623988859704,4.04569455045602,1.9185294117647,"hsa-miR-146a","",TRUE
"A_25_P00013311",0.000216706698320015,9.51063879774363e-06,5.12101163149626,3.04972987427015,1.65135834976471,"hsa-miR-34a*","",TRUE
"A_25_P00011011",0.000245019417914596,1.1521289243633e-05,-5.05928948618983,2.86174762880884,-1.25705042017647,"hsa-miR-200a*","",TRUE
"A_25_P00012133",0.000245547977071059,1.29712913822915e-05,5.02109365261413,2.74561752297386,1.95515359476471,"hsa-miR-224","",TRUE
"A_25_P00012354",0.000245547977071059,1.30856288721254e-05,5.01826443276963,2.73702194807371,1.29205882352941,"hsa-miR-342-5p","",TRUE
"A_25_P00010787",0.000301444594162971,1.70094128367821e-05,-4.93362017629638,2.48028676845154,-1.33764705882353,"hsa-miR-564","",TRUE
"A_25_P00013173",0.000603459627493111,3.5942736433759e-05,4.69090360284416,1.7492966326539,1.93379411764706,"hsa-miR-21*","",TRUE
"A_25_P00014590",0.000669241811180675,4.19587342433025e-05,4.64042573920217,1.59837754399579,1.78785294117647,"hsa-miR-126*","",TRUE
"A_25_P00012357",0.00066981578000648,4.48361559122312e-05,4.61875915253772,1.53372791610304,1.50941176470588,"hsa-miR-342-3p","",TRUE
"A_25_P00010990",0.00066981578000648,4.66769493596011e-05,4.60560613795131,1.49452033402282,1.7364705882353,"hsa-miR-25","",TRUE
"A_25_P00011102",0.00066981578000648,4.82939277120659e-05,4.59446755904248,1.46134086366423,1.52647058823529,"hsa-miR-15b","",TRUE
"A_25_P00012304",0.000789796313526702,6.11778045122502e-05,4.51696736999704,1.23109493666078,1.28411764705883,"hsa-miR-361-3p","",TRUE
"A_25_P00013893",0.000789796313526702,6.18962628155722e-05,-4.51313380502516,1.21973426927525,-2.15885527547059,"hsa-miR-199b-5p","",TRUE
"A_25_P00014257",0.000894503366723671,7.29062305166628e-05,4.45930315859414,1.06050383346545,1.44633333335294,"hsa-miR-590-5p","",TRUE
"A_25_P00010433",0.000957926517054624,8.36399658143061e-05,4.41402914645519,0.92702345443937,2.2235294117647,"hsa-miR-106b","",TRUE
"A_25_P00010975",0.000957926517054624,8.40813243809702e-05,4.41229216394979,0.921910579218565,3.1264705882353,"hsa-miR-21","",TRUE
"A_25_P00011994",0.00123428983301757,0.000112208166637961,4.31680026850844,0.641800308315895,1.26944117647059,"hsa-miR-18a","",TRUE
"A_25_P00010964",0.00155256238557016,0.000150875968503683,-4.2182627353765,0.35487054009503,-1.86647058823529,"hsa-miR-133b","",TRUE
"A_25_P00011017",0.0018171679893073,0.000184206810808869,-4.15149322168122,0.161751841890195,-1.50147058823529,"hsa-miR-136","",TRUE
"A_25_P00010214",0.0018171679893073,0.000187982895445583,-4.14468876228919,0.142133048482481,-1.54142156864706,"hsa-miR-335","",TRUE
"A_25_P00012090",0.00187774161199434,0.000215173338105986,4.09930729229421,0.0115894096596136,1.06058823529412,"hsa-miR-181b","",TRUE
"A_25_P00012077",0.00187774161199434,0.000216660562791468,4.09698959491327,0.0049366140039524,1.25235294117647,"hsa-miR-7","",TRUE
"A_25_P00014817",0.00187774161199434,0.00021778512860299,4.09524735652635,-6.34418645182322e-05,2.30411764705883,"hsa-miR-15a","",TRUE
"A_25_P00012215",0.00213541213184359,0.00025437511288419,4.04288227542475,-0.149971340382902,2.16882352941177,"hsa-miR-126","",TRUE
"A_25_P00014887",0.00216792028059517,0.000265043545276525,-4.0289958551654,-0.189600934805543,-1.368627451,"hsa-miR-513a-5p","",TRUE
"A_25_P00012317",0.00221640377905562,0.00027791896916058,-4.01294478688878,-0.235342215215034,-1.35351540611765,"hsa-miR-376c","",TRUE
"A_25_P00014840",0.00241410954976101,0.00031027740294734,-3.97560128731639,-0.341483627731004,-1.39243510735294,"hsa-miR-124","",TRUE
"A_25_P00013928",0.0024455129453369,0.000321979760828055,-3.96302424532406,-0.377142583895053,-1.57608496729412,"hsa-miR-135a","",TRUE
"A_25_P00010883",0.0028521974864006,0.000401178135561216,3.88805263559655,-0.58875046351322,1.01593137252941,"hsa-miR-181a*","",TRUE
"A_25_P00014818",0.0028521974864006,0.000407149829020972,3.88299892686372,-0.602954526408741,2.11705882352941,"hsa-miR-16","",TRUE
"A_25_P00012871",0.0028521974864006,0.000411288665750557,3.87953839273453,-0.612676320742727,1.188,"hsa-miR-454","",TRUE
"A_25_P00010799",0.00290731064622922,0.000428349844428757,-3.86562152866215,-0.651736663252156,-1.06129411764706,"hsa-miR-663","",TRUE
"A_25_P00012145",0.00312902822406679,0.000470825563495944,3.83318434711137,-0.742546699880624,1.13705882352941,"hsa-let-7i","",TRUE
"A_25_P00013358",0.00320171815432004,0.000491799967278,-3.81820072121037,-0.784383665379822,-1.28,"hsa-miR-200b*","",TRUE
"A_25_P00012149",0.00331424017756,0.000519473382062696,-3.79935268621575,-0.836909986894092,-1.62404248364706,"hsa-miR-1","",TRUE
"A_25_P00012343",0.00377270817702305,0.000614986912868961,3.74103775083609,-0.998698729981077,1.12741176470588,"hsa-miR-340","",TRUE
"A_25_P00010125",0.0041095755667517,0.000682782147454045,-3.70474835930867,-1.09881315476822,-1.32656862741177,"hsa-miR-377","",TRUE
"A_25_P00012258",0.00454249979782703,0.00076894980903655,3.66335117079371,-1.21247277497146,1.75705882352942,"hsa-miR-193a-3p","",TRUE
"A_25_P00015172",0.00490436707846478,0.000853677340243196,3.62680224236462,-1.31232589651739,1.51588235294117,"hsa-miR-1260","",TRUE
"A_25_P00012188",0.00504904768908078,0.000903432672750946,3.60693812185446,-1.36639680420098,2.13301470588235,"hsa-miR-144","",TRUE
"A_25_P00010998",0.00504904768908078,0.000924217959588787,3.59895054054675,-1.38809936186377,1.28026143794118,"hsa-miR-19a","",TRUE
"A_25_P00010276",0.00521684304800899,0.000997578137707048,-3.57207944405697,-1.46093909927507,-1.35341176470588,"hsa-miR-376a","",TRUE
"A_25_P00014821",0.0056364473775794,0.0011543489601543,3.5205164943311,-1.59996452705998,1.79882352941177,"hsa-miR-27a","",TRUE
"A_25_P00014861",0.0056364473775794,0.00116616152639574,-3.51690910953042,-1.60965351731823,-1.12689215688235,"hsa-miR-483-5p","",TRUE
"A_25_P00012639",0.00568832592612381,0.00119472676191315,-3.50832880917553,-1.6326792830119,-1.12941176470588,"hsa-miR-501-3p","",TRUE
"A_25_P00012107",0.00636737300759429,0.00137666141268422,-3.45790661931494,-1.7674184753396,-1.30176470588235,"hsa-miR-214","",TRUE
"A_25_P00012809",0.00723675507988828,0.00158960827316483,3.40644443769979,-1.90390758206487,1.05911978770588,"hsa-miR-625","",TRUE
"A_25_P00013983",0.00723675507988828,0.00161068843470868,-3.40171508541587,-1.9163976599882,-1.14352941176471,"hsa-miR-362-5p","",TRUE
"A_25_P00014796",0.00775479806347887,0.0017991714420739,-3.36188144226647,-2.02123532826902,-1.00814425770588,"","ebv-miR-BART3*",TRUE
"A_25_P00014820",0.00775479806347887,0.00182322838483046,3.35708745094835,-2.03380857367367,1.40235294117647,"hsa-miR-23a","",TRUE
"A_25_P00010613",0.00815908351113299,0.00194385688666491,3.33392486512043,-2.09442247528408,1.57058823529412,"hsa-miR-20a","",TRUE
"A_25_P00014179",0.00839872522551772,0.00204666288920655,-3.31524345424282,-2.14314550645955,-1.21411764705883,"hsa-miR-532-5p","",TRUE
"A_25_P00015279",0.00839872522551772,0.00207993508719718,-3.30938890619333,-2.15838434588462,-1.06539215688235,"hsa-miR-664*","",TRUE
"A_25_P00011096",0.00874833284144983,0.00219393927058303,-3.28998482284799,-2.20878674193183,-1.08726890758823,"hsa-miR-572","",TRUE
"A_25_P00014846",0.00955992247075265,0.00250420786418676,3.2416753453527,-2.33356394712063,1.48941176470588,"hsa-miR-150","",TRUE
